ADM2_NAME,RP,Is_Urban,Distance_to_River_m,Latitude,Longitude
Boluwaduro,2.0,0,14552.99,7.9466403,4.8092286
Bomadi,1.5,0,2025.63,5.2255299,5.8097295
Bonny,1.5,0,798.92,4.505781,7.203466
Borgu,3.0,0,10044.61,10.1967653,4.0920206
Boripe,1.5,0,9042.21,7.8622022,4.6594465
Bosso,4.0,0,11097.15,9.6009083,6.3466716
Brass,1.5,0,407.1,4.5121961,6.4818845
Buji,1.5,1,10876.63,11.5483373,9.7315015
Bukkuyum,1.5,1,7101.53,11.9850101,5.5834557
Bungudu,1.5,1,2119.3,12.0079549,6.5157571
Bunkure,1.5,1,8152.51,11.6690434,8.5487486
Bunza,1.5,0,3980.61,12.2010775,3.9337264
Bursari,1.5,1,12030.09,12.4514335,10.7178005
Buruku,1.5,0,918.71,7.4191966,9.2137482
Burutu,1.5,1,564.99,5.3522824,5.5079208
Bwari,3.0,0,6494.72,9.2357478,7.4718746
Calabar South,1.5,1,204.61,4.8527025,8.3207315
Calabar-Municipal,1.5,1,3432.56,5.0153885,8.346658
Chanchaga,1.5,1,5895.5,9.6194134,6.5496471
Charanchi,1.5,1,8045.06,12.5582006,7.6759502
Chibok,1.5,1,6079.51,10.8690461,12.8480309
Chikun,1.5,0,4703.95,10.4202275,7.3135795
Damaturu,1.5,1,20000.0,11.747,11.9608
Damban,2.0,1,17395.67,11.617606,10.7666868
Dambatta,1.5,0,11634.35,12.428521,8.5965507
Damboa,1.5,1,5689.56,11.0793105,12.6688633
Dan Musa,1.5,1,1314.92,12.2587684,7.2858517
Dandi,1.5,1,20000.0,11.9019676,3.7945764
Dandume,1.5,1,20000.0,11.4169922,7.2224595
Dange-Shuni,1.5,0,20000.0,12.8256542,5.4191047
Danja,1.5,1,14445.51,11.4083136,7.4790533
Darazo,1.5,1,14633.27,11.1188755,10.5562017
Dass,2.0,1,4504.35,10.0114079,9.4718203
Daura,1.5,1,7773.8,13.035917,8.319388
Dawakin Kudu,1.5,1,3072.34,11.7974797,8.7065887
Dawakin Tofa,1.5,1,7127.14,12.142136,8.3611161
Degema,1.5,0,869.51,4.5905613,6.9389479
Dekina,1.5,0,20000.0,7.5953906,7.1434419
Demsa,1.5,0,1103.97,9.4222181,12.0875217
Dikwa,1.5,1,11199.97,11.9443017,14.0711604
Doguwa,3.0,0,3420.14,10.8799648,8.6761589
Doma,1.5,1,7513.35,8.3922968,8.3565453
Donga,1.5,0,0.0,7.2330632,10.499495
Dukku,1.5,1,20000.0,10.7799177,10.8210523
Dunukofia,1.5,0,8016.5,6.2738049,6.9780011
Dutse,1.5,1,12035.31,11.6909859,9.3390747
Dutsin-Ma,1.5,1,8593.41,12.4067522,7.527285
Eastern Obolo,1.5,1,195.66,4.5365226,7.7059004
Ebonyi,1.5,1,10974.74,6.1996918,8.0348906
Edati,1.5,0,10940.58,8.9633375,5.9997548
Ede North,1.5,0,1582.94,7.7344181,4.4739981
Ede South,1.5,0,9407.15,7.6592076,4.4636917
Edu,1.5,0,5592.15,8.8453918,5.2120792
Efon,1.5,0,17622.0,7.6836482,4.9348868
Egbado North,1.5,0,4684.9,7.1260629,2.9408573
Egbado South,1.5,0,5395.11,6.7778024,2.9583573
Egbeda,4.0,0,900.07,7.3926447,4.0387216
Egbedore,1.5,1,3546.72,7.7874849,4.4362977
Egor,1.5,0,9484.04,6.3438385,5.5615668
Ehime-Mbano,1.5,0,5029.21,5.6882541,7.3001814
Ejigbo,1.5,1,16645.41,7.8999894,4.3167086
Ekeremor,1.5,0,1284.98,4.9440157,5.710206
Eket,1.5,0,988.43,4.6360066,7.9575416
Ekiti,1.5,0,20000.0,7.736891,5.2738326
Ekiti East,1.5,1,20000.0,7.7208095,5.6597767
Ekiti South West,1.5,0,14042.35,7.5234638,5.0333579
Ekiti West,1.5,0,20000.0,7.7210934,5.034239
Ekwusigo,1.5,1,3803.1,5.9883647,6.8402004
Eleme,1.5,0,1556.0,4.7506524,7.1474252
Emohua,1.5,1,3336.1,4.8838852,6.8609777
Emure,1.5,0,20000.0,7.4293752,5.5129244
Enugu East,1.5,0,2877.19,6.5483445,7.5568359
Enugu North,1.5,1,3898.63,6.4410785,7.5383207
Enugu South,1.5,1,3530.7,6.4001343,7.5139031
Epe,1.5,1,8952.52,6.5857286,3.975694
Esan Central,1.5,1,20000.0,6.7047055,6.2079259
Esan North East,1.5,0,15845.09,6.7867315,6.4334884
Esan South East,1.5,0,3297.12,6.576807,6.4860838
Esan West,1.5,0,20000.0,6.6546491,6.1396625
Ese-Odo,1.5,0,153.86,6.2308481,4.9530442
Esit - Eket,1.5,1,4999.14,4.642734,8.0759035
Essien Udim,1.5,0,2322.18,5.1035626,7.6567273
Etche,1.5,0,2972.36,5.0765321,7.0926388
Ethiope East,1.5,0,993.22,5.6672926,5.9721297
Ethiope West,1.5,0,4929.24,5.9113228,5.7758592
Eti-Osa,1.5,1,7284.62,6.4592426,3.532073
Etim Ekpo,1.5,1,6183.16,4.954823,7.5738446
Etinan,1.5,1,2251.75,4.8457415,7.8431499
Etsako Central,1.5,0,5980.14,6.978096,6.5157761
Etsako East,1.5,0,5866.98,7.1872207,6.5169123
Etsako West,1.5,0,2562.87,6.9969282,6.3018014
Etung,1.5,0,6466.72,5.8739933,8.8076153
Ewekoro,1.5,0,14539.95,6.961699,3.1734405
Ezeagu,1.5,0,15421.45,6.4170554,7.2379601
Ezinihitte,1.5,0,4109.3,5.4732246,7.3224601
Ezza North,1.5,1,10773.19,6.2590742,7.9835226
Ezza South,1.5,0,7548.56,6.1269331,8.021691
Fagge,1.5,0,3412.64,12.032223,8.5174197
Fakai,1.5,1,8371.01,11.5267507,4.8830122
Faskari,1.5,1,8323.84,11.7138498,7.0993315
Fika,1.5,1,20000.0,11.320567,11.2729093
Fufore,1.5,0,8633.78,9.2577101,12.7592871
Funakaye,1.5,1,8919.27,10.8541991,11.4446812
Fune,1.5,0,16484.85,11.8920217,11.4324499
Funtua,1.5,1,10455.24,11.5232142,7.307497
Gabasawa,1.5,0,11724.49,12.1348836,8.8570347
Gada,1.5,1,7869.43,13.6829016,5.7011027
Gagarawa,1.5,1,20000.0,12.4856312,9.5202629
Gamawa,1.5,1,19548.89,12.014595,10.5934781
Ganjuwa,3.0,1,2562.14,10.7493609,9.9899566
Ganye,1.5,0,7874.07,8.4379908,11.8544901
Garki,1.5,1,20000.0,12.4303749,9.1130416
Garko,1.5,1,11353.64,11.5649275,8.8369338
Garum Mallam,1.5,1,4876.47,11.6585436,8.4011183
Gashaka,2.0,0,8198.59,7.5071871,11.3402371
