ADM2_NAME,RP,Is_Urban,Distance_to_River_m,Latitude,Longitude
Misau,1.5,1,13008.1,11.3861194,10.4685521
Mkpat Enin,1.5,1,10015.06,4.7047345,7.7610095
Moba,1.5,1,18584.48,7.9928837,5.131158
Mobbar,1.5,0,16751.93,13.0669035,12.6776969
Mokwa,2.0,0,5829.9,9.1218968,5.3232819
Monguno,1.5,0,20000.0,12.6534453,13.6856712
Mopa-Muro,1.5,0,8082.27,8.1404458,5.888926
Moro,1.5,0,3261.5,8.8535638,4.5154722
Mubi North,1.5,0,804.72,10.2801221,13.3214501
Mubi South,1.5,0,8063.28,10.148035,13.3284979
Musawa,1.5,1,16058.25,12.1112494,7.7097378
Mushin,1.5,1,5459.94,6.5247655,3.3516348
Muya,1.5,1,382.39,10.749001,7.115305
Nafada,1.5,0,4079.2,11.0505637,11.2551261
Nangere,1.5,1,3515.29,11.8075446,11.0562868
Nasarawa,1.5,1,816.69,8.4387868,8.2382849
Ndokwa East,1.5,0,4458.53,5.6582752,6.4961408
Ndokwa West,1.5,0,5221.02,5.8260994,6.4163551
Nembe,1.5,0,146.87,4.5154824,6.2831826
Ngala,1.5,0,561.78,12.3758114,14.0852342
Nganzai,1.5,1,4018.21,12.4493445,13.1252411
Ngaski,1.5,0,705.84,10.5767008,4.7208828
Ngor-Okpala,1.5,1,1370.74,5.3274231,7.1575034
Nguru,1.5,1,7979.74,12.875615,10.4540091
Ningi,1.5,1,742.61,11.0046287,9.2016788
Njaba,1.5,1,996.88,5.7054952,7.0021319
Njikoka,1.5,1,7567.73,6.1892624,6.9937842
Nkanu East,1.5,0,5545.58,6.3371067,7.6610906
Nkanu West,1.5,0,4581.04,6.3215568,7.5208351
Nkwerre,1.5,1,3167.51,5.7442951,7.0994267
Nnewi North,1.5,1,6457.63,6.006232,6.9120158
Nnewi South,1.5,0,6198.68,5.9604744,6.9807066
Nsit Atai,1.5,1,14450.0,4.8185556,8.013983
Nsit Ibom,1.5,1,1128.92,4.9036345,7.896614
Nsit Ubium,1.5,0,7110.85,4.7597313,7.9487236
Nsukka,1.5,1,20000.0,6.8561,7.3927
Numan,1.5,1,1639.73,9.4598443,12.0359283
Nwangele,1.5,0,560.0,5.7111706,7.1195741
Obafemi-Owode,3.0,0,8012.83,6.9171662,3.4459066
Obanliku,1.5,0,15198.27,6.4864846,9.2946334
Obi,1.5,0,19626.51,7.0439804,8.3038379
Obi Ngwa,1.5,0,8207.64,5.1522715,7.4478142
Obokun,1.5,1,2884.56,7.7744022,4.7781458
Obot Akara,1.5,1,4836.02,5.243455,7.6006957
Obowo,1.5,0,4804.72,5.5585649,7.3605637
Obubra,1.5,0,7924.73,6.015311,8.4146667
Obudu,1.5,0,2070.01,6.5583976,9.0532889
Odeda,1.5,0,4273.0,7.3126235,3.4564069
Odigbo,1.5,1,2236.14,6.7318828,4.8851666
Odo-Otin,1.5,1,1045.04,8.0074435,4.6790483
Odogbolu,7.0,1,650.92,6.8077002,3.8141003
Odukpani,1.5,0,3593.99,5.1865544,8.1975491
Offa,1.5,1,8554.62,8.1560008,4.7227435
Ofu,1.5,1,14183.07,7.3294933,7.068971
Ogba/Egbema/Ndoni,1.5,0,2319.98,5.4512857,6.6409178
Ogbadibo,1.5,1,20000.0,7.008833,7.6456569
Ogbaru,1.5,0,3716.82,5.9212864,6.7609969
Ogbia,1.5,1,353.11,4.7957445,6.3138193
Ogbomosho North,1.5,1,1231.19,8.1568767,4.2633807
Ogo Oluwa,1.5,0,4177.26,7.9610822,4.1808762
Ogoja,1.5,0,1574.71,6.527803,8.6878448
Ogori/Magongo,1.5,0,11880.12,7.4786735,6.1558739
Ogu/Bolo,1.5,0,321.99,4.6742177,7.201702
Ogun waterside,1.5,1,3981.66,6.4608379,4.3903695
Oguta,1.5,0,2195.79,5.6594644,6.7783824
Ohafia,1.5,1,17519.39,5.6629148,7.8324886
Ohaji/Egbema,1.5,0,9087.36,5.4234836,6.8388261
Ohaozara,1.5,1,3049.33,6.0045553,7.7938501
Ohaukwu,1.5,0,13943.36,6.5240374,8.0108481
Ohimini,1.5,0,20000.0,7.2502554,7.9572672
Oji-River,1.5,0,8657.41,6.1654933,7.3030229
Ojo,1.5,0,1275.54,6.4624975,3.1657099
Oju,1.5,1,12686.21,6.8701551,8.3636442
Oke-Ero,1.5,0,5688.38,8.1803193,5.2964357
Okehi,1.5,0,3721.42,7.7331346,6.3561003
Okene,1.5,0,796.26,7.4610396,6.398817
Okigwe,1.5,0,6357.83,5.8227091,7.3198299
Okitipupa,1.5,0,7343.96,6.5654448,4.7294512
Okobo,1.5,0,8048.56,4.8136649,8.1239681
Okpe,1.5,0,3945.55,5.7004104,5.7518793
Okpokwu,1.5,0,20000.0,7.0453758,7.9101002
Okrika,1.5,0,182.12,4.6920776,7.0614745
Ola-oluwa,1.5,0,8755.78,7.7457421,4.1994322
Olorunda,1.5,0,5176.13,7.8734477,4.5821284
Olorunsogo,1.5,0,19581.21,8.7931509,4.0601689
Oluyole,5.0,0,2576.39,7.2195796,3.8929879
Omala,1.5,0,20000.0,7.777828,7.5658863
Omumma,1.5,1,2699.26,5.0931204,7.235432
Ona-Ara,5.0,0,4492.16,7.258719,4.064942
Ondo East,1.5,0,4263.05,7.066805,4.9623712
Ondo West,1.5,0,11483.9,7.0331467,4.7687111
Onicha,1.5,1,10656.51,6.1085424,7.8142408
Onitsha North,1.5,1,807.59,6.1513108,6.8026218
Onna,1.5,1,1752.83,4.6367584,7.8723707
Opobo/Nkoro,1.5,1,295.91,4.5092548,7.5209388
Oredo,1.5,0,130.23,6.2297631,5.5617902
Orelope,1.5,0,20000.0,8.7941346,3.8019227
Orhionmwon,1.5,0,2285.35,6.0884175,5.9483601
Ori Ire,1.5,0,1769.16,8.3093052,4.2035848
Oriade,1.5,1,20000.0,7.5530772,4.867415
Orlu,1.5,1,2619.73,5.8179105,7.0409322
Orolu,1.5,0,6952.93,7.903355,4.4735706
Oron,1.5,1,1165.9,4.8169432,8.2369999
Orsu,1.5,0,5889.58,5.8494268,6.9828062
Oru East,1.5,1,6301.04,5.7274848,6.9478755
Oru West,1.5,1,6766.82,5.7544954,6.9107675
Oruk Anam,1.5,1,11009.45,4.8202351,7.6508147
Orumba North,1.5,0,2029.52,6.1134022,7.1625696
Orumba South,1.5,1,12644.02,5.9892248,7.2049199
Ose,1.5,0,8516.29,7.051014,5.7286513
Oshimili North,1.5,0,6919.87,6.30333,6.6477729
Oshimili South,1.5,0,2622.49,6.1303621,6.7307334
Oshodi-Isolo,1.5,1,8956.84,6.5398494,3.312384
Osisioma Ngwa,1.5,0,3253.72,5.1924923,7.3358399
Osogbo,1.5,0,1826.26,7.7583223,4.5750447
Oturkpo,1.5,1,20000.0,7.1912599,8.1328576
Ovia North East,1.5,0,6974.36,6.3963337,5.5027204
Ovia South West,1.5,0,12619.54,6.4709535,5.2991591
Owan East,1.5,0,12483.49,7.0306056,6.1056297
Owan West,1.5,0,8325.61,6.9274464,5.8934672
Owerri North,1.5,0,1152.79,5.4323857,7.1074755
Owerri West,1.5,1,1337.79,5.4068275,6.9851183
Owerri-Municipal,1.5,1,528.1,5.4799006,7.0219827
Owo,1.5,1,20000.0,7.1962012,5.5868016
Oye,1.5,0,20000.0,7.8805359,5.3375344
Oyi,1.5,1,545.82,6.2395957,6.907348
Oyigbo,1.5,1,1447.99,4.8814078,7.1334475
Oyo East,1.5,0,5039.36,7.8700811,4.0289582
Oyo West,1.5,0,6627.56,7.9571932,3.8166315
Oyun,1.5,0,10142.1,8.1998492,4.6316354
Paikoro,5.0,0,14956.84,9.4930392,6.8376786
Pankshin,1.5,0,1830.11,9.3054781,9.3794144
Patani,1.5,0,2585.34,5.1745322,6.0940441
Pategi,2.0,0,6623.4,8.6704602,5.8172728
Port-Harcourt,1.5,1,1122.63,4.7676576,7.0188527
Potiskum,1.5,1,1198.99,11.7122553,11.0762744
Qua'an Pan,1.5,0,4281.65,8.7664165,9.1244816
Rabah,1.5,1,1735.19,13.0019668,5.7945252
Rafi,4.0,0,3299.61,10.2138948,6.2071102
Rano,1.5,0,6968.33,11.4850802,8.5136042
Remo North,15.0,0,1445.82,6.9954504,3.7177572
Rijau,1.5,0,2331.74,11.0430889,5.2174572
Rimi,1.5,1,1118.93,12.8919095,7.7145423
Rimin Gado,1.5,1,5485.36,11.9243341,8.3318596
Ringim,1.5,0,6703.5,12.1658289,9.1100548
Riyom,1.5,0,608.27,9.5564637,8.704925
Rogo,1.5,1,127.83,11.5090482,7.8533616
Roni,1.5,1,6689.99,12.563882,8.3709345
Sabon Birni,1.5,0,7551.99,13.5311002,6.2175118
Sabon-Gari,1.5,1,2911.32,11.1665682,7.7068114
Sabuwa,1.5,1,10839.79,11.3401382,7.0754897
Safana,1.5,1,19071.17,12.5182313,7.2324827
Sagbama,1.5,0,240.92,5.0969489,6.1267442
Sakaba,1.5,1,5572.72,11.1775635,5.5420716
Saki East,1.5,0,9195.58,8.710249,3.5676274
Saki West,1.5,0,16966.37,8.6429222,3.2031583
Sandamu,1.5,1,6165.31,12.9326254,8.4056984
Sanga,1.5,0,6214.19,9.2458822,8.4593907
Sapele,1.5,1,976.33,5.8948144,5.6795885
Sardauna,1.5,0,12270.13,6.929532,11.2229288
Shagamu,5.0,1,1213.61,6.8477165,3.6440551
Shagari,1.5,1,11046.44,12.5426651,5.0724551
Shanga,1.5,1,150.92,11.1964232,4.6058888
Shani,1.5,1,1819.28,10.151198,11.9796686
Shanono,1.5,1,667.94,12.097207,7.9264412
Shelleng,1.5,0,57.94,9.9784484,12.1080891
Shendam,1.5,0,2507.48,8.7365546,9.5155524
Shinkafi,1.5,0,7812.77,13.0373049,6.3704843
Shira,1.5,1,13090.77,11.4648844,10.0629941
Shiroro,10.0,0,5230.74,10.0841804,6.7189286
Shomolu,1.5,1,4400.84,6.5335645,3.3841634
Silame,1.5,1,5945.46,12.9891629,4.8202412
Soba,1.5,1,10875.1,10.9579962,8.0299052
Sokoto North,1.5,1,1204.02,13.0665791,5.2331985
Sokoto South,1.5,1,3395.34,13.03565,5.2629592
Song,1.5,0,861.23,9.7789798,12.642119
Southern Ijaw,1.5,0,2527.28,4.7132198,5.8767913
Sule-Tankarkar,1.5,1,20000.0,12.6512968,9.2475428
Suleja,1.5,0,2761.24,9.2081657,7.1871897
Sumaila,1.5,0,10349.7,11.2581601,8.8702242
Suru,1.5,0,223.68,11.7923495,4.1460127
Surulere,1.5,1,2654.96,6.4855737,3.3539907
Tafa,1.5,0,9287.63,9.2379532,7.2587751
Tafawa-Balewa,3.0,1,3819.79,9.8441524,9.5933061
Tai,1.5,0,7111.8,4.7698464,7.261975
Takai,1.5,0,7546.86,11.4853125,9.1560448
Takum,1.5,1,13510.01,7.2549376,9.9852661
Talata Mafara,1.5,1,11669.93,12.3990101,6.0825831
Tambuwal,1.5,1,20000.0,12.3986484,4.9429866
Tangaza,1.5,1,13643.38,13.4791553,4.9704261
Tarauni,1.5,1,3388.78,11.9614371,8.565161
Tarka,1.5,0,8378.64,7.6149052,8.823735
Tarmua,1.5,1,20000.0,12.226929,11.8318975
Taura,1.5,1,8908.14,12.2724893,9.3624188
Tofa,1.5,1,3209.32,12.0245844,8.341578
Toro,7.0,1,6570.21,10.3502951,9.328662
Toto,1.5,0,14957.96,8.2616496,7.1971572
Toungo,1.5,1,1091.07,8.11751,12.0469523
Tsafe,1.5,1,18633.81,11.8234446,6.9042433
Tsanyawa,1.5,1,530.47,12.2847503,7.9963794
Tudun Wada,1.5,1,4095.9,11.315692,8.5239039
Tureta,1.5,1,8413.98,12.5190328,5.4949963
Udenu,1.5,0,20000.0,6.8958276,7.5608051
Udi,1.5,1,5388.5,6.4361489,7.3987364
Udu,1.5,0,4420.25,5.477352,5.821686
Udung Uko,1.5,1,3312.72,4.7505095,8.2631939
Ughelli North,1.5,0,7930.97,5.4868836,6.0175259
Ughelli South,1.5,0,5492.09,5.3602094,5.9677787
Ugwunagbo,1.5,0,6304.89,5.0223494,7.3554656
Uhunmwonde,1.5,0,20000.0,6.5259362,5.9000732
Ukanafun,1.5,0,6573.28,4.9038458,7.6055028
Ukum,1.5,0,14037.74,7.6077266,9.6059233
Ukwa East,1.5,0,6919.26,4.9369271,7.4028023
Ukwa West,1.5,1,9954.7,4.9791653,7.2646812
Ukwuani,1.5,0,4000.92,5.84944,6.2520583
Umu-Nneochi,1.5,1,17902.57,5.9731936,7.4053403
Umuahia North,1.5,1,3700.42,5.6078214,7.4762003
Umuahia South,1.5,0,7155.01,5.4980793,7.4618449
Ungogo,1.5,1,4715.78,12.0916,8.49534
Unuimo,1.5,0,3006.09,5.7964888,7.2302642
Uruan,1.5,0,8.99,5.0038805,8.0774824
Urue-Offong/Oruko,1.5,1,6817.86,4.7223909,8.1688014
Ushongo,1.5,0,19233.86,7.1040666,9.097224
Ussa,3.0,0,3677.15,7.1040816,10.0535879
Uvwie,1.5,1,1309.27,5.5639359,5.7838249
Uyo,1.5,0,7872.53,4.990237,7.9974399
Uzo-Uwani,1.5,0,19948.47,6.6896644,7.1623308
Vandeikya,1.5,1,7615.12,6.8334444,9.0458344
Wamako,1.5,1,1789.62,13.0821193,5.1071233
Wamba,1.5,0,2107.15,9.0034175,8.7170567
Warawa,1.5,1,2193.0,11.9046272,8.7934017
Warji,1.5,1,4336.92,11.1465091,9.7588179
Warri North,1.5,0,3494.72,5.9235306,5.1348618
Warri South,1.5,1,184.46,5.626158,5.6514533
Warri South West,1.5,0,591.03,5.6042278,5.3230331
Wasagu/Danko,1.5,1,8982.0,11.3811742,5.7464525
Wase,3.0,0,4298.75,9.0070529,10.2440209
Wudil,1.5,1,3238.7,11.76688,8.8390149
Wukari,1.5,1,6459.27,7.8705196,9.7775523
Wurno,1.5,1,5367.74,13.2428503,5.4760516
Wushishi,1.5,0,1596.58,9.7113466,5.9103153
Yabo,1.5,0,6065.95,12.7727698,4.9280534
Yagba East,2.0,0,9426.04,8.1347528,5.7048151
Yagba West,1.5,0,11986.99,8.2763953,5.5564206
Yakurr,1.5,1,6420.14,5.8176086,8.1779057
Yala,1.5,0,2335.82,6.5895948,8.4959311
Yamaltu/Deba,1.5,1,2702.43,10.3071708,11.3732153
Yankwashi,1.5,1,20000.0,12.7396442,8.5605791
Yauri,1.5,1,2927.43,10.7769052,4.734335
Yenegoa,1.5,1,971.62,4.9334651,6.2747786
Yola North,1.5,0,827.46,9.266285,12.251132
Yola South,1.5,0,3932.09,9.2581806,12.4082125
Yorro,1.5,0,4525.17,8.8803048,11.5067844
Yunusari,1.5,1,13093.01,13.114159,11.7686413
Yusufari,1.5,1,14799.81,13.156975,10.4922742
Zaki,1.5,1,3974.24,12.1874661,10.2448206
Zango,1.5,1,18073.66,12.95365,8.5446236
Zango-Kataf,2.0,1,5832.04,9.8374975,8.4065268
Zaria,1.5,1,1500.61,11.0248119,7.6518533
Zing,1.5,0,20000.0,8.8585802,11.7650828
Zurmi,1.5,1,1830.29,12.8632427,6.7601807
Zuru,1.5,1,6305.4,11.436776,5.2311774
